Title,Column,Labels,Assignees,Initiative,Milestone
Blog post page: make cards same width and length,Backlog,Website,,,Team's own Continuous Improvement and Administration
Independent Assessment transition approach,Backlog,,,,Z [pending] Transition to High Performing Org
Automate generation of PDF and docx for markdown pages,Backlog,Future release,,,Team's own Continuous Improvement and Administration
Send Proposed OCMC Presentation to Director,Backlog,Enabling,,,Z [pending] Automate software onboarding
Evolution of Application Catalogue,Backlog,,,,Z [pending] Automate software onboarding
"Present books ""The Architecture of Open Source Applications"" to ARC",Backlog,,,,
Blog - What is Agora OSS?,Backlog,Blog,,,
"Evaluation framework for innovation ",Backlog,"Strategies, Idea, Outreach, Grassroots Program",,,
Comms Strategy To Promote Opening Up of Existing Docs,Backlog,,,,
Blog - Create Working in the Open post with maths on Why?,Backlog,Blog,,,
Blog - Blitz Meetings,Backlog,Blog,,,
"Blog - business rules are broken, not the system",Backlog,Blog,,,
Develop measurable performance indicators for PwC recommendations,Backlog,,,,Z [pending] Transition to High Performing Org
Get buy-in from S/W onboarding process owner (Enterprise Ops),Backlog,,,,Z [pending] Automate software onboarding
Guide for writing blog posts,Backlog,Website,,,
PROPOSAL - Presentation that visualizes Loose Coupling Architecture,Backlog,,,,
Create guidance on proper metrics for a given team,Backlog,Future release,,,Z [pending] Transition to High Performing Org
Blog - Postmortem: what we learned,Backlog,Blog,,,
Align with PwC recomendations,Backlog,,,,Z [pending] Transition to High Performing Org
Blog - loose coupling for the non-techie,Backlog,Blog,,,
Git and GitHub 101,Backlog,Training,,,Team's own Continuous Improvement and Administration
Analysis - Project Forecast vs Actuals,Backlog,Initiative: Product Management,remyb2canada,,Z [Pending] Investigation - Budget (priorities vs focus)
Peer Review - Pilot IITB Procedures for Product Mgt,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Advance Booking for Governance Endorsement,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Book - The Delicate Art of Bureaucracy,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research
Find potential GC departments willing to participate in a pilot,Backlog,Initiative: Software Assessment,,,Z [pending] Software Assessment Sharing pilot: Operations
