Title,Column,Labels,Assignees,Initiative,Milestone
Blog post page: make cards same width and length,Backlog,Website,,,Our Team Continuous Improvement and Administration
"Present books ""The Architecture of Open Source Applications"" to ARC",Backlog,,,,
"Evaluation framework for innovation ",Backlog,"Strategies, Idea, Outreach, Grassroots Program",,,
Research - public sector organization success stories in using OSS for large systems,Backlog,,,,Open First Program Office
Proposal Deck,Backlog,,,,"Transition to High Performing IT Org "
update blog based on update to policy on digital,Backlog,Website,,,Our Team Continuous Improvement and Administration
"Blog - business rules are broken, not the system",Backlog,Blog,,,
PROPOSAL - Presentation that visualizes Loose Coupling Architecture,Backlog,,,,
Blog - Postmortem: what we learned,Backlog,Blog,,,
Blog - loose coupling for the non-techie,Backlog,Blog,,,
Analysis - Project Forecast vs Actuals,Backlog,,remyb2canada,,[Pending] Investigation - Budget (priorities vs focus)
Peer Review - Pilot IITB Procedures for Product Mgt,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Investigate HR implication to product management roles,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Book - The Delicate Art of Bureaucracy,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research (Ongoing)
Present Strategy and pilot proposal to OCMC?,Backlog,,,,Sharing Software Assessment Pilot
Draft blog post and other comms pieces for launch,Backlog,,,,Sharing Software Assessment Pilot
Present pilot findings to governance committees,Backlog,,,,Sharing Software Assessment Pilot
Book - Value Stream Mapping,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research (Ongoing)
Fact Finding - Where does IITB spends its funds,Backlog,,remyb2canada,,[Pending] Investigation - Budget (priorities vs focus)
Get Salary distribution towards essential services,Backlog,,remyb2canada,,[Pending] Investigation - Budget (priorities vs focus)
Get must spends,Backlog,,remyb2canada,,[Pending] Investigation - Budget (priorities vs focus)
Get list of critical applications,Backlog,,remyb2canada,,[Pending] Investigation - Budget (priorities vs focus)
Check in with TBS (and share knowledge),Backlog,,,,
Collaborate with DevOps CoE on transformation approach,Backlog,,smellems,,"Transition to High Performing IT Org "
Issue Blog Posts - Previous/Next buttons behaviour,Backlog,Bug,,,Our Team Continuous Improvement and Administration
Governance endorsement,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Product Adoption Plan,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
fix mobile rendering,Backlog,Accessibility,,,Our Team Continuous Improvement and Administration
Fix mobile device issue for each blog post,Backlog,Bug,,,Our Team Continuous Improvement and Administration
Closeout report,Backlog,,,,Sharing Software Assessment Pilot
Create 'Lessons Learned' document to prep for 2022 study,Backlog,Initiative: IITB Diagnostic Study,,,IITB Directors Diagnostic Study 2022
Promotions work for the pilot - comms,Backlog,,,,Sharing Software Assessment Pilot
Plan to start interviews in November 2022,Backlog,,,,IITB Directors Diagnostic Study 2022
IDEA - Do a Software Management type of strategy / office. Similarly to that of IM,Backlog,Idea,,,Software Management Strategy
Produce one pager (placemat) of Framework,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
commercial software licencing and CMCP,Backlog,Idea,,,Software Management Strategy
Make a request for Interactive Fact Finding Service (IFFS) through NSD,Backlog,,ElminaIusifova,,"UX Assessment and Framework  "
