Title,Column,Labels,Assignees,Initiative,Milestone
commercial software licencing and CMCP,Backlog,Idea,,,[Pending] Software Management Strategy
MFD - Project Post Implementation Review,Backlog,Initiative: Strategy-mgmt-office,JSantosPS,,SMO - MFD Reduction
Draft interview package specific to Ex,Backlog,,,,IITB Exec Directors Diagnostic Study 2022
Software Licensing Management Strategy,Backlog,,,,[Pending] Software Management Strategy
Review the team's onboarding documents,Backlog,,,,Ongoing Advice and Unplanned Work
Remote work guidance,Backlog,,,,Ongoing Advice and Unplanned Work
Research Digital ID for GC,Backlog,,,,Ongoing Advice and Unplanned Work
Study on Trust and Data,Backlog,,,,Ongoing Advice and Unplanned Work
Create UX Center of Excellence,Backlog,User Experience,ElminaIusifova,,"UX Assessment and Framework  "
Research on visible minorities,Backlog,,,,Ongoing Advice and Unplanned Work
Read book - Lean Enterprise,Backlog,,remyb2canada,,
Read book - Scaling Lean & Agile Development,Backlog,,remyb2canada,,
Read book - Collaborative Enterprise Architecture,Backlog,,remyb2canada,,
Read book - Professional Product Owner,Backlog,,remyb2canada,,
DevSecOps NIST and PlatformeOne video,Backlog,,remyb2canada,,Cyber Security Strategy
Read book - The Toyota Way to Service Excellence,Backlog,,remyb2canada,,
Book - PDMA's Product Development and Management BoK,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research (Ongoing)
Check with Technical Debt remediation (Patrice L),Backlog,,JSantosPS,,[Pending] IT Delegation of Authority/MOU
"Investigate overlap between ITSG-33, ITSM Change Management, SDLC, even PMLC",Backlog,,remyb2canada,,Cyber Security Strategy
Book - Switch: how to change things that are hard,Backlog,,remyb2canada,,Our Team Continuous Improvement and Administration
Evaluate EA's role in Job Bank's product roadmap review,Backlog,,remyb2canada,,Product Mgt - Execute Framework
Endorse Job Bank Product Roadmap,Backlog,,remyb2canada,,Product Mgt - Execute Framework
Evaluate Change/Release Mgt's role in Job Bank's product roadmap review,Backlog,,remyb2canada,,Product Mgt - Execute Framework
Evaluate MOU between IITB and SEB,Backlog,,remyb2canada,,Product Mgt - Execute Framework
Have PPOC conduct one audit on Job Bank,Backlog,,remyb2canada,,Product Mgt - Execute Framework
OE Roadmap - Pathfinder Engagement,Backlog,Initiative: Strategy-mgmt-office,JSantosPS,,SMO - EO Tools Roadmap
Use secretariat to show stats to members,Backlog,,,,Ongoing Advice and Unplanned Work
Upload latest A11y assessments,Backlog,,smellems,,Sharing Software Assessment Pilot
Write a blog on outcome of W&L Study,To do,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Prepare deck presentation for UX Maturity Assessment,To do,User Experience,ElminaIusifova,,"UX Assessment and Framework  "
Take your kids to work day brainstorming session,To do,"Idea, Administration, Initiative: Women and Leadership in IM/IT",LeighGardner,,Ongoing Advice and Unplanned Work
"Share ""What We Heard Report"" with all participants",To do,Initiative: Women and Leadership in IM/IT,"ElminaIusifova, LeighGardner",,Study on Women and Leadership in IM/IT
"Create ""What We Heard Report"" and Deck",To do,Initiative: Women and Leadership in IM/IT,"ElminaIusifova, LeighGardner",,Study on Women and Leadership in IM/IT
Analyze responses and information from participants,To do,Initiative: Women and Leadership in IM/IT,"ElminaIusifova, LeighGardner",,Study on Women and Leadership in IM/IT
"Send ""Thank you"" email to participants",To do,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Conduct interviews with participants,To do,Initiative: Women and Leadership in IM/IT,"ElminaIusifova, LeighGardner",,Study on Women and Leadership in IM/IT
Email participants and confirm interview timeslot,To do,Initiative: Women and Leadership in IM/IT,"ElminaIusifova, LeighGardner",,Study on Women and Leadership in IM/IT
"Work monitoring and resolving any issue (technical, etc.)",To do,User Experience,"ElminaIusifova, LeighGardner",,"UX Assessment and Framework  "
Present to FMA,To do,,remyb2canada,,Product Mgt - Communications and Awareness Raising
Read Cyber-Security,To do,,remyb2canada,,Cyber Security Strategy
PRESENTATION - wrapping it all up,To do,Communications,remyb2canada,,Product Mgt - Communications and Awareness Raising
Prepare written guidance for the repository,To do,,smellems,,Sharing Software Assessment Pilot
Draft IT Strategy Framework and Operating Model,To do,,,,Our Team Continuous Improvement and Administration
Talk to Security about classification of HLA documents,To do,,smellems,,Sharing Software Assessment Pilot
Investigate Cyber Strategy from CCCS,To do,,remyb2canada,,Cyber Security Strategy
Governance endorsement,To do,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
"engage with R&P for cyber security opportunity ",To do,,remyb2canada,,Cyber Security Strategy
Produce one pager (placemat) of Framework,To do,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Produce Lessons Learned Report,To do,,remyb2canada,,Product Mgt - Execute Framework
Develop Communication Plan,To do,Initiative: Strategy-mgmt-office,JSantosPS,,Strategy Management Office (SMO)
Status update for pillars,To do,,smellems,,Sharing Software Assessment Pilot
Product - Define Success Metrics for the pilot,To do,,remyb2canada,,Product Mgt - Produce Framework
Follow up with EA about exporting data to share,To do,,smellems,,Sharing Software Assessment Pilot
Brainstorm - feedback from Ex Director Management Committee,To do,,smellems,,Open First Program Office
Update BN with latest developments,To do,,smellems,,Open First Program Office
Update Website and Presentations based on Legal feedback,To do,,smellems,,Sharing Software Assessment Pilot
Find private sector participants for Women and Leadership in IM/IT Study,In progress,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Women & Leadership study deck (overview and updates),In progress,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
MFD Reduction - Pathfinder Engagement,In progress,Initiative: Strategy-mgmt-office,JSantosPS,,SMO - MFD Reduction
Develop intake process,In progress,Initiative: Strategy-mgmt-office,"ElminaIusifova, JSantosPS",,Strategy Management Office (SMO)
Conduct Pilot,In progress,Initiative: Strategy-mgmt-office,JSantosPS,,Strategy Management Office (SMO)
Draft email to send out to IITB teams including survey,In progress,User Experience,"ElminaIusifova, LeighGardner",,"UX Assessment and Framework  "
Make a request for Interactive Fact Finding Service (IFFS) through NSD,In progress,User Experience,ElminaIusifova,,"UX Assessment and Framework  "
Send follow up email to participants for W&L Study,In progress,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Produce Overview Deck,In progress,,remyb2canada,,Cyber Security Strategy
Write documentation on how to classify documents,In progress,,smellems,,Sharing Software Assessment Pilot
Develop IT Delagation Concept Briefing,Reviewing / Pending,Initiative: IT Delegation,"ElminaIusifova, philipe-girard, LeighGardner, JSantosPS",,[Pending] IT Delegation of Authority/MOU
Briefing note to the CIO,Reviewing / Pending,Initiative: Product Management,remyb2canada,,Product Mgt - Setup Job Bank
Create interview package for participants in Women and Leadership in IM/IT Study,In Consultation,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Find information about ATIP request that inclued source code,Done Enough,,smellems,,Open First Program Office
Present at Ex Director Forum,Done Enough,,smellems,,Open First Program Office
Draft Open First Strategy presentation,Done Enough,,smellems,,Open First Program Office
Promotions work for the pilot - comms,Done Enough,,smellems,,Sharing Software Assessment Pilot
Draft presentation deck for information,Done Enough,,smellems,,Sharing Software Assessment Pilot
2022-2023 Essential Training,Done Enough,,"smellems, ElminaIusifova, remyb2canada, LeighGardner, JSantosPS",,Our Team Continuous Improvement and Administration
Draft Pilot IITB Procedures on Product Management,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
(product mgt) CFOB IPM presentation,Done Enough,,remyb2canada,,Product Mgt - Communications and Awareness Raising
Produce PPRC presentation,Done Enough,,remyb2canada,,Product Mgt - Setup Job Bank
Peer Review - Pilot IITB Procedures for Product Mgt,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Peer Review - Pilot IITB Directive and Standards,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Advance Booking for Governance Endorsement,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Summary of findings with tiger team,Done Enough,,remyb2canada,,
Produce Annex,Done Enough,,remyb2canada,,Cyber Security Strategy
"Cyber Security workshops with SSC, CCCS, and TBS",Done Enough,,remyb2canada,,Cyber Security Strategy
Review Business Case,Done Enough,,remyb2canada,,Cyber Security Strategy
Tiger Team - use cases for internal IAM and Risk Management,Done Enough,,remyb2canada,,Cyber Security Strategy
Share information about ESDC software intake and assessment process,Done Enough,,smellems,,Sharing Software Assessment Pilot
Upload more ESDC Architecture assessments,Done Enough,,smellems,,Sharing Software Assessment Pilot
MFD Reduction - Workshop # 1,Done Enough,Initiative: Strategy-mgmt-office,JSantosPS,,SMO - MFD Reduction
Have roadmap template reviewed with Job Bank,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Meet with TA Director about BN,Done Enough,,smellems,,Open First Program Office
Draft BN for Open First Program Office in IITB,Done Enough,,smellems,,Open First Program Office
Produce Cyber Security Service Mapping Template,Done Enough,,remyb2canada,,
Review NIST cybersecurity framework,Done Enough,,remyb2canada,,Cyber Security Strategy
Review Multi-Cloud Strategy,Done Enough,,remyb2canada,,Ongoing Advice and Unplanned Work
Deck for tiger team,Done Enough,,remyb2canada,,Cyber Security Strategy
Draft plan for DGO/CIO level,Done Enough,,remyb2canada,,Cyber Security Strategy
Write narrative for IITB cyber security strategy,Done Enough,,remyb2canada,,Cyber Security Strategy
Email draft for Peter to send to colleagues,Done Enough,,remyb2canada,,Cyber Security Strategy
BF Unit ConOps,Done Enough,,remyb2canada,,Cyber Security Strategy
Engage PPOC - PPRC on their role in Product Management,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Presentation - Product Mgt for Release Mgt and IT Sec,Done Enough,,remyb2canada,,Product Mgt - Communications and Awareness Raising
Feedback to TMD Product Management,Done Enough,,remyb2canada,,Product Mgt - Communications and Awareness Raising
Presentation for PPOC (seek endorsement),Done Enough,,remyb2canada,,Product Mgt - Produce Framework
CSPS Product Management Course Review,Done Enough,,remyb2canada,,Ongoing Advice and Unplanned Work
Cyber ask deck,Done Enough,,remyb2canada,,Cyber Security Strategy
Find IITB participants for Women and Leadership in IM/IT Study,Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Create Excel spreadsheet to log responses for Women and Leadership in IM/IT Study,Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Create communications plan and email messages for Women and Leadership in IM/IT Study,Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Create interview schedule and timeline for Women and Leadership in IM/IT Study,Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Connect with ATIP regarding information collected during the study,Done Enough,Initiative: Women and Leadership in IM/IT,"ElminaIusifova, LeighGardner",,Study on Women and Leadership in IM/IT
Connect with ESDC legal team to create participant consent form and confidentiality agreement for Women and Leadership study,Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Review TBS material,Done Enough,Initiative: Women and Leadership in IM/IT,"ElminaIusifova, LeighGardner",,Study on Women and Leadership in IM/IT
"Confirm interview package statements with Legal, V&E, ESDC Research and Privacy",Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Complete course on conducting research,Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
"Prepare work plan, interview questions and interview logistics",Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
"Presentations for initiatives at Director, Ex level",Done Enough,,"smellems, ElminaIusifova, LeighGardner, JSantosPS",,Our Team Continuous Improvement and Administration
Meet with Open Gove @ ESDC team in CDO,Done Enough,,smellems,,Open First Program Office
Email members of GCexchange community,Done Enough,,smellems,,Sharing Software Assessment Pilot
Upload ESDC a11y assessments to GCexchange,Done Enough,,smellems,,Sharing Software Assessment Pilot
Cyber Security Tasking,Done Enough,Briefing,remyb2canada,,Ongoing Advice and Unplanned Work
Peer review TMB presentation with DECD/Produce and services,Done Enough,,remyb2canada,,Product Mgt - Communications and Awareness Raising
PMCoP Presentation on funding software related activities,Done Enough,,remyb2canada,,Product Mgt - Communications and Awareness Raising
(product mgt) EPMO presentation,Done Enough,,remyb2canada,,Product Mgt - Communications and Awareness Raising
Prepare list of survey participants (IITB teams),Done Enough,User Experience,ElminaIusifova,,
Translate survey questions,Done Enough,,ElminaIusifova,,"UX Assessment and Framework  "
Collect feedback and comments from stakeholders  on UX work plan and survey questions,Done Enough,,ElminaIusifova,,"UX Assessment and Framework  "
Develop UX work plan,Done Enough,,ElminaIusifova,,"UX Assessment and Framework  "
Prepare survey questions to assess the level of UX maturity,Done Enough,,ElminaIusifova,,"UX Assessment and Framework  "
Modify survey questions based on stakeholders feedback,Done Enough,,"ElminaIusifova, LeighGardner",,"UX Assessment and Framework  "
CSPS feedback on product mgt course,Done Enough,,remyb2canada,,Product Mgt - Communications and Awareness Raising
Schedule meeting with BDM,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
PMM Tool feedback,Done Enough,,remyb2canada,,Ongoing Advice and Unplanned Work
Update Framework based on PL feedback,Done Enough,,remyb2canada,,Product Mgt - Produce Framework
Check in with TBS (and share knowledge),Done Enough,,,,
Get approval to proceed with UX Assessment and Framework,Done Enough,,ElminaIusifova,,"UX Assessment and Framework  "
Develop UX proposal,Done Enough,,ElminaIusifova,,"UX Assessment and Framework  "
Proposal Deck,Done Enough,,,,"[Pending] Transition to High Performing IT Org "
"Present books ""The Architecture of Open Source Applications"" to ARC",Done Enough,,,,
Present Strategy and pilot proposal to OCMC?,Done Enough,,,,Sharing Software Assessment Pilot
Write documentation how to use GCexchange,Done Enough,,,,Sharing Software Assessment Pilot
Find potential GC departments willing to participate in a pilot,Done Enough,,"smellems, ElminaIusifova",,Sharing Software Assessment Pilot
Meet with SSC AAACT team,Done Enough,,smellems,,Sharing Software Assessment Pilot
Discuss OSS framework approvals with original author,Done Enough,,smellems,,Open First Program Office
Read end to end zero trust,Done Enough,,remyb2canada,,Our Team Continuous Improvement and Administration
Background material reading,Done Enough,,remyb2canada,,Cyber Security Strategy
Talk to old TA team about OSS framework approvals,Done Enough,,,,Open First Program Office
Connect with Values & Ethics on W&L in IM/IT interview questions,Done Enough,Initiative: Women and Leadership in IM/IT,"ElminaIusifova, LeighGardner",,Study on Women and Leadership in IM/IT
BEAT Assessment Board,Done Enough,Administration,LeighGardner,,Ongoing Advice and Unplanned Work
Make edits to interview/survey questions based on feedback from R&P,Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Answer TB sub question re SSC,Done Enough,,remyb2canada,,Cyber Security Strategy
Peer Review - Pilot IITB Standard on Financial Coding for Product Management,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Draft Pilot IITB Standard on Financial Coding for Product Management,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Contact YESS for FY 2022-23 and workshop,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Technical Standards and Security,Done Enough,"Governance, Initiative: Product Management",remyb2canada,,Product Mgt - Do Research (Ongoing)
get in touch with Interop on how they did SA&A with agile,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research (Ongoing)
Respond to questions in ESDC and other departments,Done Enough,,smellems,,Sharing Software Assessment Pilot
Blog - Funding software related activities to enable product management,Done Enough,Blog,remyb2canada,,Product Mgt - Communications and Awareness Raising
Upload TA assessments to GCexchange site,Done Enough,,"smellems, LeighGardner",,Sharing Software Assessment Pilot
Meeting with Dinesh for Job Bank,Done Enough,Dependencies,remyb2canada,,Product Mgt - Setup Job Bank
Funding Model pitch to CIO,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Schedule consultation with EA on procedures to engage EA teams within product mgt,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Scoping exercise for engagement with IT Sec,Done Enough,Enabling,remyb2canada,,Ongoing Advice and Unplanned Work
Funding software improvement explanation,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Investigate ePayroll opportunity,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research (Ongoing)
Blog - Agile Project Management vs Product Management,Done Enough,"Blog, Initiative: Product Management",remyb2canada,,Product Mgt - Communications and Awareness Raising
PSPC - buyandsell approach,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research (Ongoing)
Tech support for the repository,Done Enough,,,,Sharing Software Assessment Pilot
Upload ESDC artefacts,Done Enough,,,,Sharing Software Assessment Pilot
Confirm classification with RSO,Done Enough,,smellems,,Sharing Software Assessment Pilot
Launch pilot phase 1,Done Enough,,,,Sharing Software Assessment Pilot
Fix Join group on MS Teams link (NOTEAMSLINK),Done Enough,,,,Sharing Software Assessment Pilot
Get buy-in from S/W onboarding process owner (Enterprise Ops),Done Enough,,,,[Pending] Automate software onboarding
Send Proposed OCMC Presentation to Director,Done Enough,Enabling,,,[Pending] Automate software onboarding
Evolution of Application Catalogue,Done Enough,,,,[Pending] Automate software onboarding
Create SMO business case,Done Enough,Initiative: Strategy-mgmt-office,JSantosPS,,Strategy Management Office (SMO)
Create deliverable/artefact templates,Done Enough,Initiative: Strategy-mgmt-office,JSantosPS,,Strategy Management Office (SMO)
Create executive business case slide deck,Done Enough,Initiative: Strategy-mgmt-office,JSantosPS,,Strategy Management Office (SMO)
Grassroot - Use ODF by default with M365,Done Enough,Grassroots Program,smellems,,Ongoing Advice and Unplanned Work
Grassroots - e-Docket v2 (o365),Done Enough,Grassroots Program,,,Ongoing Advice and Unplanned Work
Update framework on github,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Communications and Awareness Raising
Identify software used for performance measurement,Done Enough,,,,
Develop measurable performance indicators for PwC recommendations,Done Enough,,,,
Align with PwC recomendations,Done Enough,,,,
Create guidance on proper metrics for a given team,Done Enough,Future release,,,
Independent Assessment transition approach,Done Enough,,,,
Perform first round of consultations,Done Enough,Strategies,,,Open First Program Office
Consultation with IITB,Done Enough,Strategies,,,Open First Program Office
Presentation to ESDC EARB,Done Enough,Strategies,,,Open First Program Office
Presentation to CIOEC,Done Enough,Strategies,,,Open First Program Office
Presentation on OSS at IITB Showcase,Done Enough,Strategies,,,Open First Program Office
Business Case - Open First Center of Enablement,Done Enough,Strategies,,,Open First Program Office
Meet with TBS on WIT/Women in STEM,Done Enough,Initiative: Women and Leadership in IM/IT,"ElminaIusifova, LeighGardner",,Study on Women and Leadership in IM/IT
Contact pillars to update on current status,Done Enough,,smellems,,Sharing Software Assessment Pilot
Meet with RSO and Accessibility pillar,Done Enough,,smellems,,Sharing Software Assessment Pilot
Update Commitments section with new Directives and Standards,Done Enough,,smellems,,Open First Program Office
Learn more about the protected level of security assessments,Done Enough,Initiative: Software Assessment,smellems,,Sharing Software Assessment Pilot
Update online version of Product Management F/W to version 0.4,Done Enough,,,,Product Mgt - Communications and Awareness Raising
Add ISED PO responsibilities to framework,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
PSPC - Phoenix split history,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research (Ongoing)
Find out tech stack for Job Bank - cyber security focused,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Seek alignment with Resource Centre,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
IT Strategy feedback  on UX proposal,Done Enough,,ElminaIusifova,,"UX Assessment and Framework  "
Edit fields in GCxchange website to upload software assessments,Done Enough,Initiative: Software Assessment,LeighGardner,,Sharing Software Assessment Pilot
Choose and setup/finalize the repository,Done Enough,Initiative: Software Assessment,"ElminaIusifova, LeighGardner",,Sharing Software Assessment Pilot
Automate generation of PDF and docx for markdown pages,Done Enough,Future release,,,Our Team Continuous Improvement and Administration
CSPS feedback to product management course,Done Enough,Initiative: Product Management,remyb2canada,,Ongoing Advice and Unplanned Work
Investigate distributing computing opportunity,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research (Ongoing)
Get feedback from BDM architects,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
List of committees we should be observers,Done Enough,Idea,remyb2canada,,Ongoing Advice and Unplanned Work
Help IITB policy with the digital policy amendment presentation,Done Enough,Enabling,remyb2canada,,Ongoing Advice and Unplanned Work
Investigate Job Bank - Interop opportunity,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research (Ongoing)
Find sources of info for Agile Project Management,Done Enough,Initiative: Product Management,remyb2canada,,Ongoing Advice and Unplanned Work
Set up a meeting with the pillars to chat about Legal's response,Done Enough,Initiative: Software Assessment,,,Sharing Software Assessment Pilot
Comms plan for the software assessment sharing pilot,Done Enough,,LeighGardner,,Sharing Software Assessment Pilot
Collect feedback and survey expertise suggestions from Research & Prototyping on interview questions,Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Meet with Susan Donovan Brown,Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Update NPM packages,Done Enough,,smellems,,Our Team Continuous Improvement and Administration
Get approval to proceed with Women and Leadership Study & Interview questions,Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Investigate the possible copyright issue with the assessments from security,Done Enough,"Initiative: Software Assessment, legal",smellems,,Sharing Software Assessment Pilot
Internal Services Portal - contact SSPB,Done Enough,Initiative: Product Management,,,Organizational Performance Measurement
Update team on IT Strategy website,Done Enough,,ElminaIusifova,,Our Team Continuous Improvement and Administration
Removing Rachel from about us - to merge on May 16,Done Enough,Website,RachelMuston,,
Fix the depreciation warnings,Done Enough,,,,Our Team Continuous Improvement and Administration
Clean up member list and permissions,Done Enough,,smellems,,Our Team Continuous Improvement and Administration
Job Bank - SEB-IITB agreement,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Setup Job Bank
BPMO CoE - PMM Selection Tool,Done Enough,,remyb2canada,,
Present at SLF,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Communications and Awareness Raising
MW to read,Done Enough,Idea,remyb2canada,,Our Team Continuous Improvement and Administration
Update EPMO product mgt plan,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Communications and Awareness Raising
Update IT Strategy onboarding document,Done Enough,documentation,,,Our Team Continuous Improvement and Administration
SSC GC Enterprise Services potential partnership,Done Enough,"Strategies, Outreach",remyb2canada,,Ongoing Advice and Unplanned Work
SLF Deck,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Communications and Awareness Raising
GC Agility Product Management Deck,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Communications and Awareness Raising
Check with Business Arch on fit within EA,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Find a partner from TMB for UX research in IITB,Done Enough,,ElminaIusifova,,"UX Assessment and Framework  "
Book status update meeting with EPMO,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Book status update meeting with Job Bank,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Conversation with DG for next year's focus,Done Enough,,,,Ongoing Advice and Unplanned Work
Periodic meetings with DG / Exec-Dir (like before) - less proxies for comms,Done Enough,,,,Ongoing Advice and Unplanned Work
Update Team's Communication Strategy,Done Enough,Communications,"ElminaIusifova, LeighGardner",,Our Team Continuous Improvement and Administration
FY 2021-2023 Workplan and New Strategy Service,Done Enough,Idea,philipe-girard,,Our Team Continuous Improvement and Administration
Discuss HR revamp with Leigh,Done Enough,,philipe-girard,,IITB Diagnostic Study 2021
Blog post about the pilot,Done Enough,Initiative: Software Assessment,,,Sharing Software Assessment Pilot - 2. Operations
Blog - Create Working in the Open post with maths on Why?,Done Enough,Blog,,,
Comms Strategy To Promote Opening Up of Existing Docs,Done Enough,,,,
Guide for writing blog posts,Done Enough,Website,,,
Blog - Blitz Meetings,Done Enough,Blog,,,
Blog - What is Agora OSS?,Done Enough,Blog,,,
Verify if there are any legal/procurement issues with openly sharing the software assessments,Done Enough,Initiative: Software Assessment,,,Sharing Software Assessment Pilot
Close out tweet,Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Closeout
Change the auto-response message on the micro-acquisitions email account,Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Closeout
Brainstorm with the team for how to include security documents,Done Enough,Initiative: Software Assessment,RachelMuston,,Sharing Software Assessment Pilot
Research and Planning,Done Enough,,RachelMuston,,Organizational Performance Measurement
update the 'readme' text on the MA repo,Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Closeout
Update the IT Strategy Initiatives page,Done Enough,"Website, Initiative: Micro-acquisition",RachelMuston,,Micro-acquisitions pilot: Closeout
message to the mailing list subscribers,Done Enough,Initiative: Micro-acquisition,,,Micro-acquisitions pilot: Closeout
