Title,Column,Labels,Assignees,Initiative,Milestone
Collect UX survey responses,Backlog,User Experience,"ElminaIusifova, LeighGardner",,"UX Assessment and Framework  "
Blog post page: make cards same width and length,Backlog,Website,,,Our Team Continuous Improvement and Administration
"Evaluation framework for innovation ",Backlog,"Strategies, Idea, Outreach, Grassroots Program",,,
Research - public sector organization success stories in using OSS for large systems,Backlog,,,,Open First Program Office
update blog based on update to policy on digital,Backlog,Website,,,Our Team Continuous Improvement and Administration
"Blog - business rules are broken, not the system",Backlog,Blog,,,
PROPOSAL - Presentation that visualizes Loose Coupling Architecture,Backlog,,,,
Blog - Postmortem: what we learned,Backlog,Blog,,,
Blog - loose coupling for the non-techie,Backlog,Blog,,,
Analysis - Project Forecast vs Actuals,Backlog,,remyb2canada,,[Pending] Investigation - Budget (priorities vs focus)
Connect current work around DevSecOps,Backlog,,remyb2canada,,Cyber Security Strategy
Investigate HR implication to product management roles,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
(product mgt) Present to TMB,Backlog,,remyb2canada,,Product Mgt - Communications and Awareness Raising
Book - The Delicate Art of Bureaucracy,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research (Ongoing)
Draft blog post and other comms pieces for launch,Backlog,,,,Sharing Software Assessment Pilot
Present pilot findings to governance committees,Backlog,,,,Sharing Software Assessment Pilot
Book - Value Stream Mapping,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research (Ongoing)
Fact Finding - Where does IITB spends its funds,Backlog,,remyb2canada,,[Pending] Investigation - Budget (priorities vs focus)
Get Salary distribution towards essential services,Backlog,,remyb2canada,,[Pending] Investigation - Budget (priorities vs focus)
Get must spends,Backlog,,remyb2canada,,[Pending] Investigation - Budget (priorities vs focus)
Get list of critical applications,Backlog,,remyb2canada,,[Pending] Investigation - Budget (priorities vs focus)
Collaborate with DevOps CoE on transformation approach,Backlog,,smellems,,"[Pending] Transition to High Performing IT Org "
Issue Blog Posts - Previous/Next buttons behaviour,Backlog,Bug,,,Our Team Continuous Improvement and Administration
Product Adoption Plan,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
fix mobile rendering,Backlog,Accessibility,,,Our Team Continuous Improvement and Administration
Fix mobile device issue for each blog post,Backlog,Bug,,,Our Team Continuous Improvement and Administration
Closeout report,Backlog,,,,Sharing Software Assessment Pilot
Create 'Lessons Learned' document to prep for 2022 study,Backlog,Initiative: IITB Diagnostic Study,,,IITB Directors Diagnostic Study 2022
Plan to start interviews in November 2022,Backlog,,,,IITB Directors Diagnostic Study 2022
IDEA - Do a Software Management type of strategy / office. Similarly to that of IM,Backlog,Idea,,,[Pending] Software Management Strategy
