Title,Column,Labels,Assignees,Initiative,Milestone
Blog - Agile Project Management vs Product Management,Backlog,"Blog, Initiative: Product Management",remyb2canada,,Product Mgt - Communications and Awareness Raising
Plan to start interviews in November 2022,Backlog,,,,IITB Diagnostic Study 2022
IDEA - Do a Software Management type of strategy / office. Similarly to that of IM,Backlog,Idea,remyb2canada,,Our Team Continuous Improvement and Administration
Produce one pager (placemat) of Framework,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Make a request for Interactive Fact Finding Service (IFFS) through NSD,To do,,ElminaIusifova,,"UX Assessment and Framework  "
Get approval to proceed with UX Assessment and Framework,To do,,ElminaIusifova,,"UX Assessment and Framework  "
Prepare survey questions to assess the level of UX maturity,To do,,ElminaIusifova,,"UX Assessment and Framework  "
Update team on IT Strategy website,To do,,ElminaIusifova,,Our Team Continuous Improvement and Administration
Create interview schedule and timeline for Women and Leadership in IM/IT Study,To do,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Find private sector participants for Women and Leadership in IM/IT Study,To do,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Financing software improvement explanation,To do,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Schedule consultation with EA directors on fit of EA teams within product mgt,To do,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Peer Review - Pilot IITB Directive and Standards,To do,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Engage PPOC - PPRC on their role in Product Management,To do,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Get feedback from BDM architects,To do,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Schedule meeting with BDM,To do,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Research - public sector organization success stories in using OSS for large systems,To do,Strategies,,,Open First Center of Enablement
Investigate HR implication to product management roles,To do,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Job Bank - SEB-IITB agreement,To do,Initiative: Product Management,remyb2canada,,Product Mgt - Setup Job Bank
Draft Pilot IITB Procedures on Product Management,To do,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Briefing note to the CIO,To do,Initiative: Product Management,remyb2canada,,Product Mgt - Setup Job Bank
Funding Model pitch to CIO,To do,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Choose and setup/finalize the repository,To do,Initiative: Software Assessment,"ElminaIusifova, LeighGardner",,Sharing Software Assessment Pilot - 1. Planning
Set up a meeting with the pillars to chat about Legal's response,To do,Initiative: Software Assessment,,,Sharing Software Assessment Pilot - 1. Planning
Clean up member list and permissions,To do,,smellems,,Our Team Continuous Improvement and Administration
Update NPM packages,To do,,smellems,,Our Team Continuous Improvement and Administration
Book - PDMA's Product Development and Management BoK,To do,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research (Ongoing)
IT Strategy feedback  on UX proposal,In progress,,ElminaIusifova,,"UX Assessment and Framework  "
Edit fields in GCxchange website to upload software assessments,In progress,Initiative: Software Assessment,LeighGardner,,Sharing Software Assessment Pilot - 1. Planning
Working in the Open Strategy (2-pager),In progress,Strategies,,,Open First Center of Enablement
"Prepare work plan, interview questions and interview logistics",In progress,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Create interview package for participants in Women and Leadership in IM/IT Study,In progress,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Create communications/email messages for Women and Leadership in IM/IT Study,In progress,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Create Excel spreadsheet to log responses for Women and Leadership in IM/IT Study,In progress,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Find IITB participants for Women and Leadership in IM/IT Study,In progress,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Contact pillars to update on current status,In progress,,smellems,,Sharing Software Assessment Pilot - 1. Planning
Investigate the possible copyright issue with the assessments from security,In progress,"Initiative: Software Assessment, legal",smellems,,Sharing Software Assessment Pilot - 1. Planning
Learn more about the protected level of security assessments,In progress,Initiative: Software Assessment,smellems,,Sharing Software Assessment Pilot - 1. Planning
Create SMO business case,In progress,Initiative: Strategy-mgmt-office,"JSantosPS, paul-tomka",,Strategy Management Office (SMO)
Create executive business case slide deck,In progress,Initiative: Strategy-mgmt-office,"JSantosPS, paul-tomka",,Strategy Management Office (SMO)
